course_name,Course_link
"Pharmacist Independent Prescribing - Practice Certificate -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/pharmacist-independent-prescribing-practice-certificate/march-2022
"Pharmacokinetics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/pharmacokinetics-msc/september-2022
"Pharmacy MPharm -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/pharmacy-mpharm/september-2022
"PhD - Aston Business School -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/phd-aston-business-school/october-2022
"PhD - Aston Law School -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/phd-aston-law-school/october-2021
"PhD - Engineering and Physical Sciences -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/phd-engineering-and-physical-sciences/january-2022
"PhD - Health and Life Sciences -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/phd-health-and-life-sciences/october-2022
"PhD - School of Social Sciences and Humanities -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/phd-school-of-social-sciences-and-humanities/october-2022
"Politics and Social Policy BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/politics-and-social-policy-bsc/september-2022
"Politics and Sociology BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/politics-and-sociology-bsc/september-2022
"Politics with International Relations BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/politics-international-relations-bsc/september-2022
"Postgraduate Certificate in Team Coaching -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/postgraduate-certificate-team-coaching/october-2022
"Postgraduate Diploma for Overseas Pharmacists (OSPAP) PgDip/MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/postgraduate-diploma-overseas-pharmacists-ospap-pgdipmsc/september-2022
"Practical Process Engineering -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/practical-process-engineering/october-2021
Pre-sessional English programmes for Academic Purposes - ,https://www.aston.ac.uk/study/courses/pre-sessional-english-programmes-for-academic-purposes/february-2021
"Prescribing for Disorders of the Eye - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/prescribing-disorders-eye-standalone-module/october-2022
"Product Design and Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/product-design-and-management-bsc/september-2022
"Product Design and Technology BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/product-design-and-technology-bsc/september-2022
